name;size
8-Bit Farm;0.24
Afterlove EP;4.04
"Animal Crossing; New Horizons";10.82
Anime Studio Story;0.24
Assassin’s Creed® The Rebel Collection;12.92
Balatro;0.16
Basketball Club Story;0.26
Beastie Bay DX;0.15
Biz Builder Delux;0.25
Boxing Gym Story;0.27
Burger Bistro Story;0.26
Burger Chef Tycoon;0.33
Burger Chef Tycoon;0.33
Cafe Master Story;0.11
Cafeteria Nipponica;0.23
Captain Toad Treasure Tracker;1.89
Cat Quest III;1.04
Cavern Adventurers;0.08
Clubhouse Games 51 Worldwide Classics;2.32
Coffee Talk;0.63
Contra Operation Galuga;10.07
"CONTRA; ROGUE CORPS";4.28
Convenience Stories;0.14
Cooking Mama Cookstar;2.61
"Crash Bandicoot 4; It's About Time";10.55
Crash Bandicoot N. Sane Trilogy;5.25
Crash Team Racing Nitro-Fueled;9.26
DAVE THE DIVER;4.4
Death's Door;2.71
Demon Slayer -Kimetsu no Yaiba The Hinokami Chronicles;11.07
Demon Slayer -Kimetsu no Yaiba The Hinokami Chronicles 2;19.01
Detective Pikachu Returns;9
Doraemon Dorayaki Shop Story;0.17
Doraemon Story of Seasons;1.05
DORAEMON STORY OF SEASONS Friends of the Great Kingdom;2.97
DRAGON BALL FIGHTERZ;10.81
DRAGON BALL XENOVERSE 2;16.83
"Dragon Ball Z; Kakarot + A New Power Awakens Set";22.68
"DRAGON BALL; THE BREAKERS";4.06
Dream House Days DX;0.24
Dream Park Story;0.14
Dream Town Island;0.15
Dungeon Village;0.23
Dungeon Village 2;0.27
EA SPORTS FC 25;32.1
EA SPORTS FC 26;30.9
Epic Astro Story;0.24
Europa;2.25
Fire Emblem Warriors;21.9
"Fire Emblem Warriors; Three Hopes";13.48
"Fire Emblem; Three Houses";12.59
Fishing Valley;0.77
Forest Camp Story;0.27
Forest Golf Planner;0.07
Funko Fusion;5.35
Game Dev Story;0.25
Grand Prix Story;0.24
Harvest Moon Light of Hope;0.29
Harvest Moon Mad Dash;0.16
Harvest Moon One World;1.32
Harvest Moon Skytree Village;0.19
Harvest Moon The Lost Valley;0.17
Harvest Moon The Winds of Anthos;2.04
Heian City Story;0.07
High Sea Saga DX;0.11
Hollow Knight;5.29
"Hollow Knight; Silksong";2.56
Home Run High;0.25
Hot Spring Story 2;0.26
Hot Springs Story;0.23
Infinity Strash DRAGON QUEST The Adventure of Dai;7.06
Jumbo Airport Story;0.12
Kairobotica;0.22
Kirby and the Forgotten Land;5.79
Kirby Star Allies;3.94
Kirby's Dream Buffet;1.19
Kirby's Return to Dream Land Deluxe;5
Legends of Heropolis DX;0.1
Let‘s School;0.68
Little Kitty, Big City;1.55
Luigi's Mansion 2;2.99
Luigi's Mansion 3;7.71
Magazine Mogul;0.24
March to a Million;0.25
Mario & Luigi Brothership;9.98
Mario & Sonic at the Olympic Games Tokyo 2020;6.4
Mario + Rabbids Kingdom Battle;3.44
MARIO + RABBIDS SPARKS OF HOPE;5.99
"Mario Golf; Super Rush";4.17
Mario Kart 8 Deluxe;11.24
Mario Party Superstars;2.85
"Mario Strikers; Battle League";2.79
Mario Tennis Aces;2.51
Mario vs. Donkey Kong;1.3
Mega Mall Story;0.23
Mega Mall Story2;0.22
Metroid Dread;4.13
Metroid Prime Remastered;6.76
Naruto Shippuden Ultimate Ninja Storm 4;12.07
"NARUTO SHIPPUDEN; Ultimate Ninja Storm Trilogy";17.69
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS;13.8
Natsu-Mon 20th Century Summer Kid;3.39
NBA 2K26;59
New Pokémon Snap;7.31
New Super Mario Bros. U Deluxe;2.5
Ninja Village;0.23
OCTOPATH TRAVELER;3.11
OCTOPATH TRAVELER II;5.23
Oh! Edo Towns;0.23
ONE PIECE ODYSSEY Deluxe Edition;12.12
ONE PIECE PIRATE WARRIORS 4;13.41
"Paper Mario; The Origami King";6.49
"Paper Mario; The Thousand-Year Door";5.11
Pikmin 1;1.09
Pikmin 2;1.04
Pikmin 3;6.5
Pikmin 4;10.59
Pixel Cafe;0.4
Pizza Bar Tycoon;0.28
Pizza Maker;0.23
Planet of Lana;7
Platypus Reclayed;1.41
Pocket Academy ZERO;0.18
Pocket Arcade Story;0.24
Pocket Clothier;0.23
Pocket Harvest;0.24
Pocket League Story;0.23
Pocket Stables;0.24
Pokémon Brilliant Diamond;7.03
Pokémon HOME;1.37
Pokémon Legends Arceus;6.11
Pokémon Let’s Go Eevee;4.22
Pokémon Let’s Go Pikachu;4.19
"Pokémon Mystery Dungeon; Rescue Team DX";2.15
Pokémon Quest;0.26
Pokémon Scarlet;11.15
Pokémon Shield;12.46
Pokémon Shining Pearl;7.03
Pokémon Sword;12.46
Pokémon Unite;4.11
Pokémon Violet;11.15
Pool Slide Story;0.25
Prince of Persia The Lost Crown;7.97
Princess Peach Showtime!;5.01
Pro Wrestler Story;0.15
Sea of Stars;4.62
Shin chan Shiro and the Coal Town;3.09
SHINOBI Art of Vengeance;6.8
Shiny Ski Resort;0.25
Silver Screen Story;0.23
Skating Rink Story;0.12
Sliding Cubes 2048 Mania;0.09
Splatoon 2;8.11
Splatoon 3;7.96
SpongeBob Krusty Cook-Off;0.73
SPY×ANYA Operation Memories;4.97
Stardew Valley;1.61
Station Manager;0.25
STORY OF SEASONS A Wonderful Life;1.13
STORY OF SEASONS Friends of Mineral Town;1.06
STORY OF SEASONS Grand Bazaar;2.48
STORY OF SEASONS Pioneers of Olive Town;3.61
Stray;5.67
Suikoden I&II HD Remaster Gate Rune and Dunan Unification Wars;7.1
Super Dragon Ball Heroes World Mission;7.48
